0, 0, 0
0, 2, 2
1, 4, 5
2, 6, 8
2, 8, 11
3, 10, 14
4, 12, 17
5, 14, 20
5, 16, 23
6, 18, 26
7, 20, 29
8, 22, 32
8, 24, 35
9, 26, 38
10, 28, 41
11, 30, 43
11, 32, 46
12, 35, 49
13, 37, 52
14, 39, 55
14, 41, 58
15, 43, 61
16, 45, 64
17, 47, 67
17, 49, 70
18, 51, 73
19, 53, 76
20, 55, 79
20, 57, 82
21, 59, 84
22, 61, 87
23, 63, 90
23, 65, 93
24, 68, 96
25, 70, 99
26, 72, 102
26, 74, 105
27, 76, 108
28, 78, 111
29, 80, 114
29, 82, 117
30, 84, 120
31, 86, 123
32, 88, 125
32, 90, 128
33, 92, 131
34, 94, 134
35, 96, 137
35, 98, 140
36, 100, 143
39, 102, 143
43, 103, 141
47, 104, 138
52, 105, 136
56, 107, 133
61, 108, 130
65, 109, 128
69, 110, 125
74, 111, 123
78, 112, 120
82, 113, 118
87, 114, 115
91, 115, 112
95, 117, 110
100, 118, 107
104, 119, 105
108, 120, 102
113, 121, 100
117, 122, 97
122, 123, 94
126, 124, 92
130, 125, 89
135, 127, 87
139, 128, 84
143, 129, 82
148, 130, 79
152, 131, 77
157, 132, 74
161, 133, 71
165, 134, 69
170, 135, 66
174, 137, 64
178, 138, 61
183, 139, 59
187, 140, 56
191, 141, 53
196, 142, 51
200, 143, 48
204, 144, 46
209, 145, 43
213, 147, 41
218, 148, 38
222, 149, 35
226, 150, 33
231, 151, 30
235, 152, 28
239, 153, 25
244, 154, 23
248, 155, 20
253, 157, 18
